study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
PRJEB47011	SAMEA9697017	ERX6130582	ERR6503706	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR650/006/ERR6503706/ERR6503706_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR650/006/ERR6503706/ERR6503706_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR650/ERR6503706/VNHN08_92.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR650/ERR6503706/VNHN08_92.R2.fastq.gz	
PRJEB47011	SAMEA9697018	ERX6130583	ERR6503707	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR650/007/ERR6503707/ERR6503707_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR650/007/ERR6503707/ERR6503707_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR650/ERR6503707/VNHN08_93.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR650/ERR6503707/VNHN08_93.R2.fastq.gz	
PRJEB47011	SAMEA9697019	ERX6130584	ERR6503708	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR650/008/ERR6503708/ERR6503708_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR650/008/ERR6503708/ERR6503708_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR650/ERR6503708/VNHN08_94.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR650/ERR6503708/VNHN08_94.R2.fastq.gz	
PRJEB47011	SAMEA9697020	ERX6130585	ERR6503709	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR650/009/ERR6503709/ERR6503709_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR650/009/ERR6503709/ERR6503709_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR650/ERR6503709/VNHN08_95.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR650/ERR6503709/VNHN08_95.R2.fastq.gz	
PRJEB47011	SAMEA9697021	ERX6130586	ERR6503710	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR650/000/ERR6503710/ERR6503710_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR650/000/ERR6503710/ERR6503710_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR650/ERR6503710/VNHN08_96.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR650/ERR6503710/VNHN08_96.R2.fastq.gz	
PRJEB47011	SAMEA9697022	ERX6130587	ERR6503711	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR650/001/ERR6503711/ERR6503711_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR650/001/ERR6503711/ERR6503711_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR650/ERR6503711/VNHN08_97.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR650/ERR6503711/VNHN08_97.R2.fastq.gz	
PRJEB47011	SAMEA9697023	ERX6130588	ERR6503712	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR650/002/ERR6503712/ERR6503712_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR650/002/ERR6503712/ERR6503712_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR650/ERR6503712/VNHN08_98.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR650/ERR6503712/VNHN08_98.R2.fastq.gz	
PRJEB47011	SAMEA9697024	ERX6130589	ERR6503713	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR650/003/ERR6503713/ERR6503713_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR650/003/ERR6503713/ERR6503713_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR650/ERR6503713/VNHN08_99.R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR650/ERR6503713/VNHN08_99.R2.fastq.gz	
PRJEB47011	SAMEA9697028	ERX6130989	ERR6504074	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR650/004/ERR6504074/ERR6504074.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR650/ERR6504074/NHTD_58.ONT.fastq.gz	
PRJEB47011	SAMEA9697031	ERX6130990	ERR6504075	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR650/005/ERR6504075/ERR6504075.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR650/ERR6504075/NHTD_65.ONT.fastq.gz	
PRJEB47011	SAMEA9696946	ERX6130991	ERR6504076	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR650/006/ERR6504076/ERR6504076.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR650/ERR6504076/VNHN08_19.ONT.fastq.gz	
PRJEB47011	SAMEA9696972	ERX6130992	ERR6504077	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR650/007/ERR6504077/ERR6504077.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR650/ERR6504077/VNHN08_47.ONT.fastq.gz	
PRJEB47011	SAMEA9696935	ERX6130993	ERR6504078	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR650/008/ERR6504078/ERR6504078.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR650/ERR6504078/VNHN08_7.ONT.fastq.gz	
PRJEB47011	SAMEA9697001	ERX6130994	ERR6504079	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR650/009/ERR6504079/ERR6504079.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR650/ERR6504079/VNHN08_76.ONT.fastq.gz	
PRJEB47011	SAMEA9697009	ERX6130995	ERR6504080	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR650/000/ERR6504080/ERR6504080.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR650/ERR6504080/VNHN08_84.ONT.fastq.gz	
PRJEB47011	SAMEA9697011	ERX6130996	ERR6504081	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR650/001/ERR6504081/ERR6504081.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR650/ERR6504081/VNHN08_86.ONT.fastq.gz	
PRJEB47011	SAMEA9697020	ERX6131063	ERR6504148	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR650/008/ERR6504148/ERR6504148.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR650/ERR6504148/VNHN08_95.ONT.fastq.gz	
PRJEB47011	SAMEA9697021	ERX6131064	ERR6504149	562	Escherichia coli	ftp.sra.ebi.ac.uk/vol1/fastq/ERR650/009/ERR6504149/ERR6504149.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR650/ERR6504149/VNHN08_96.ONT.fastq.gz	
